ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,TOTL06851X,SCUOLA SECONDARIA II GRADO,2,12,5,7,1,6
202425,CAEE848094,SCUOLA PRIMARIA,5,5,5,0,0,0
202425,VRMM83301Q,SCUOLA SECONDARIA I GRADO,3,93,82,11,5,6
202425,BLTD01301X,SCUOLA SECONDARIA II GRADO,4,98,93,5,1,4
202425,TVEE87504A,SCUOLA PRIMARIA,4,17,16,1,0,1
202425,LTEE84401L,SCUOLA PRIMARIA,2,67,56,11,5,6
202425,CSEE848019,SCUOLA PRIMARIA,5,16,16,0,0,0
202425,RMMM8BQ019,SCUOLA SECONDARIA I GRADO,3,68,57,11,2,9
202425,RCRI032014,SCUOLA SECONDARIA II GRADO,2,59,57,2,0,2
202425,ALTL00651Q,SCUOLA SECONDARIA II GRADO,2,9,1,8,1,7
202425,TPPM033018,SCUOLA SECONDARIA II GRADO,4,15,15,0,0,0
202425,VATF01101C,SCUOLA SECONDARIA II GRADO,5,67,66,1,0,1
202425,VEEE847035,SCUOLA PRIMARIA,5,33,12,21,3,18
202425,MIEE8EQ015,SCUOLA PRIMARIA,1,43,29,14,4,10
202425,ATEE817013,SCUOLA PRIMARIA,1,22,18,4,2,2
202425,BGTF160001,SCUOLA SECONDARIA II GRADO,4,209,188,21,1,20
202425,BSTF013014,SCUOLA SECONDARIA II GRADO,1,44,39,5,1,4
202425,RMEE8DQ013,SCUOLA PRIMARIA,2,63,55,8,4,4
202425,MEEE872058,SCUOLA PRIMARIA,3,12,12,0,0,0
202425,VIMM87901R,SCUOLA SECONDARIA I GRADO,1,171,127,44,1,43
202425,VEEE805022,SCUOLA PRIMARIA,4,51,41,10,2,8
202425,MIEE8CZ02N,SCUOLA PRIMARIA,1,88,55,33,5,28
202425,NAEE18708X,SCUOLA PRIMARIA,2,14,12,2,0,2
202425,PSEE83302T,SCUOLA PRIMARIA,1,18,15,3,0,3
202425,PDEE838027,SCUOLA PRIMARIA,2,74,65,9,0,9
202425,PATD023011,SCUOLA SECONDARIA II GRADO,2,69,50,19,2,17
202425,BOEE88102E,SCUOLA PRIMARIA,1,72,55,17,4,13
